matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
3329,202100976,2021-03-10,2021-04-14,2021-04-14,Cincinnati City Council,Ordinance,Passed,Economic Growth & Zoning Committee,0119-2021,ordinance,Authorize transitional housing development on Goethe Street in Mt. Auburn,Authorizes renovation of three buildings and construction of new building for transitional housing on Goethe Street.,housing|zoning,Mount Auburn,"ORDINANCE submitted by Paula Boggs Muething, City Manager, on 3/17/2021, AUTHORIZING the renovation of the three existing buildings located at 127-129, 131, and 141 Goethe Street in the Mt. Auburn neighborhood and the construction of a new three-story building on vacant land located at 211-219 Goethe Street in the Mt. Auburn neighborhood for use as transitional housing, NOTWITHSTANDING (i) the use and density limitations contained in Chapter 1403, “Single-Family Districts,” of the Cincinnati Municipal Code, (ii) the use and density limitations contained in Chapter 1405, “Residential Multi-Family Districts,” of the Cincinnati Municipal Code, (iii) the parking limitations contained in Chapter 1425, “Parking and Loading Regulations,” of the Cincinnati Municipal Code, and (iv) the development standards contained in Chapter 1433, “Hillside Overlay Districts,” of the Cincinnati Municipal Code.",,success
3330,202100977,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Robert Rogers to Cincinnati Accessibility Board of Advisors,Reappoints Robert Rogers to serve a two-year term on the Cincinnati Accessibility Board of Advisors.,elections and governance,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Robert Rogers to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/White)",,success
3331,202100978,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Elizabeth Whelpdale to Cincinnati Accessibility Board of Advisors,Mayor reappoints Elizabeth Whelpdale to serve a two-year term on the Cincinnati Accessibility Board of Advisors.,elections and governance|human services,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Elizabeth Whelpdale to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
3332,202100979,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Report,Filed,City Manager,,report,Liquor permit application for Durbans Greenhouse Inc on Clifton Avenue,Reports on state liquor permit application for Durbans Greenhouse Inc with no objections.,legal and litigation,Clifton,"REPORT, dated 3/17/2021 submitted by Paula Boggs Muething, City Manager, on a communication from the State of Ohio, Division of Liquor Control, advising of a permit application for DURBANS GREENHOUSE INC, 3401 Clifton Avenue, Cincinnati, Ohio 45220. (#23630010005, C1, C2, NEW) [Objections: NONE]",,success
3333,202100984,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Nick Milazzo to Southwest Ohio Regional Workforce Investment Board,Reappoints Nick Milazzo to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Nick Milazzo to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/White)",,success
3334,202100985,2021-03-10,2021-03-31,2021-03-31,Cincinnati City Council,Report,Filed,City Manager,,report,Liquor permit application for Alabama Que on Short Vine Street,State liquor control division notifies city of new liquor permit application for Alabama Que restaurant.,economic development,Corryville,"REPORT, dated 3/31/2021 submitted by Paula Boggs Muething, City Manager, on a communication from the State of Ohio, Division of Liquor Control, advising of a permit application for WARD EMPIRE LLC, DBA ALABAMA QUE, 2733 Short Vine Street, Cincinnati, Ohio 45219. (#9398120, D5J, NEW) [Objections: NONE]",,success
3335,202100989,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Denisha Porter to Southwest Ohio Regional Workforce Investment Board,Reappoints Denisha Porter to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Denisha Porter to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/Minority)",,success
3337,202100997,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Reappointment of Kevin Powell to Southwest Ohio Regional Workforce Investment Board,Reappoints Kevin Powell to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Kevin Powell to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/Minority)",,success
3338,202100998,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Maureen Reilly to Southwest Ohio Regional Workforce Investment Board,Reappoints Maureen Reilly to the Southwest Ohio Regional Workforce Investment Board for one year term.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Maureen Reilly to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
3339,202100999,2021-03-10,2021-03-10,,Cincinnati City Council,Appointment,Agenda Ready,Mayor,,appointment,Reappointment of Samuel Ross to Southwest Ohio Regional Workforce Investment Board,Mayor reappoints Samuel Ross to regional workforce board for one-year term.,labor and workforce,citywide,"APPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Samuel Ross to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/Minority)",,success
3340,202101000,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Uche Agomuo to Southwest Ohio Regional Workforce Investment Board,Mayor reappoints Uche Agomuo to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Uche Agomuo to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/Minority)",,success
3341,202101001,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Jackie Alf to Southwest Ohio Regional Workforce Investment Board,Reappoints Jackie Alf to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Jackie Alf to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
3342,202101002,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Heath Boucher to Southwest Ohio Regional Workforce Investment Board,Reappoints Heath Boucher to the Southwest Ohio Regional Workforce Investment Board for one year.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Heath Boucher to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/White)",,success
3343,202101003,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappoint Jennifer Roeder to Southwest Ohio Regional Workforce Investment Board,Mayor reappoints Jennifer Roeder to Southwest Ohio Regional Workforce Investment Board for one year term.,labor and workforce,,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Jennifer Roeder to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
3345,202101005,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Leo Chan to Southwest Ohio Regional Workforce Investment Board,Mayor reappoints Leo Chan to serve one-year term on regional workforce investment board.,labor and workforce,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Leo Chan to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/Minority)",,success
